ra,dec,mu_0,m_tot,r_e,n,ell,g-i,g-r,A_g,A_r,A_i
340.763100085,1.50171742449,24.9402082631,22.0096691307,3.7349088,1.19973,0.343329,0.702261603973,0.351271718408,0.215616614632,0.15279234894,0.109042117205
341.535170838,1.00012245404,26.6902590789,21.1310713084,8.840328,0.506092,0.523967,0.166450189845,0.262841314916,0.227961860796,0.161540557712,0.115285382741
338.899651396,1.58191947853,26.9444334123,20.9887699457,6.9983592,0.429172,0.0,0.572877881292,0.019186350663,0.226660158396,0.160618132659,0.114627082888
339.217648454,1.27821929564,19.8240319862,20.2646693223,3.5799624,2.8377,0.432855,0.97414528663,0.679856169172,0.222614783715,0.157751459787,0.112581246945
339.789695823,0.506776454537,16.7155367552,20.7660436605,4.2850584,5.0,0.182179,1.22234123856,0.722041177142,0.187483841322,0.132856628664,0.094814748086
338.795110369,1.21482208006,22.5883070712,22.789494078,2.7831888,2.44965,0.42245,0.733615760138,0.254905952312,0.24028174992,0.170270797732,0.121515824658
338.845905221,1.22117847087,26.0479012534,20.7189361778,11.0071584,0.814901,0.62167,0.81466877009,0.585945766498,0.236362398482,0.16749342868,0.119533721472
338.84346579,1.37189270887,23.9794620897,21.1768353824,6.152496,1.94965,0.229629,0.830966060587,0.539133018473,0.235991896081,0.167230879654,0.119346350168
338.822127055,1.48318395603,27.0719881404,21.8754334494,4.7557776,0.36005,0.0,0.309748223739,0.374752357203,0.229254135215,0.162456301818,0.115938914654
338.871858915,1.50041239988,23.1601763766,21.2648475594,3.8772048,1.89067,0.241634,0.775608511317,0.580457462766,0.230084542032,0.163044752798,0.116358869849
338.575639727,1.05303917558,26.3399304349,19.8928422984,8.5002288,0.369628,0.0,0.318323295355,0.282072158887,0.247907701326,0.175674773813,0.125372437881
338.588998803,1.06693523237,26.5970753302,20.0224171459,10.0461144,0.556253,1.47734e-06,0.279000433276,0.282150934921,0.24790093525,0.175669979171,0.125369016126
338.602949836,1.08209856816,20.2054329324,22.2936709099,6.3730632,4.0237,0.644613,0.585696002367,0.316473907946,0.247807518967,0.175603781613,0.125321773434
338.563115143,1.1316946633,26.7220256162,21.1795182707,7.8666504,0.402102,0.474903,0.432287187256,0.300170304284,0.247601770301,0.175457981985,0.125217721757
338.583318658,1.1967831891,26.694832467,21.3334422758,5.4064752,0.45655,0.0,0.68631978551,0.789590383019,0.246208628613,0.174470760332,0.124513179023
338.597045587,1.18036315175,25.5558436159,22.4882593115,4.0296312,1.04812,0.497862,1.19965416965,0.843036362543,0.246704386427,0.17482206907,0.124763894775
338.578979892,1.19155349146,26.7839454788,23.0666409272,3.6404256,0.495221,0.4921,0.11867864764,-0.248059635948,0.246310128568,0.17454268622,0.124564509808
338.598824689,1.18249217509,26.2587232177,20.9502830065,8.6677752,0.508191,0.605929,0.596487806168,0.525705625479,0.246663659083,0.174793208462,0.124743298051
337.673885849,1.49900374862,25.5135506784,22.4339678079,3.3493152,0.575685,0.631096,0.388762686805,0.340601289868,0.256043844139,0.181440286707,0.129487066244
337.634719158,1.56999086077,25.3212263704,22.0245078312,4.657212,1.51543,0.0,0.419808036216,0.23495125214,0.252419421287,0.178871912827,0.127654115003
338.65464512,1.21133198046,22.6073851055,23.1438095632,2.8662816,2.44566,0.602979,0.077555346504,0.095921537126,0.245603697908,0.174042088434,0.124207252112
338.611568887,1.09061150025,26.7023895039,21.4687831201,8.1957792,0.214889,0.691263,0.556499916149,0.472620461327,0.247717397611,0.175539918938,0.12527619706
338.610785829,1.18709376292,26.5012134051,21.5190648117,8.8263336,0.579962,0.691892,0.700972942681,0.365387169551,0.246518783027,0.174690544978,0.124670031008
338.041486982,0.704849700374,21.0107963383,23.2221713942,4.1150088,3.70244,0.583253,0.685046789825,0.587318062847,0.227326222689,0.161090125636,0.114963926414
337.928752128,0.742434672575,26.6604897122,21.6391015337,5.2196928,0.41938,0.247919,0.684676630252,0.530078867531,0.220511214214,0.156260807845,0.111517425066
338.803789896,0.904951669864,20.7158958803,20.8812825635,3.1014312,2.84264,0.0174473,0.922242347599,0.344645630065,0.238550069821,0.169043677686,0.12064007552
338.079996293,0.863776854201,26.1932097504,19.1862205692,16.018128,0.398003,0.514177,0.645508971381,0.387010383665,0.232651748242,0.164863951507,0.117657163123
338.010587994,0.498298537262,18.6568383575,23.345824519,3.9797688,5.0,0.47342,0.058798398349,0.133370177841,0.211138252964,0.149618848605,0.106777310113
338.050580848,0.540685197761,25.7093634594,21.3021046197,6.5307648,1.11273,0.272536,0.616780803809,0.480564869163,0.21958850012,0.155606945183,0.111050788029
338.251070062,0.667471354145,25.882239806,21.7864724059,4.1323464,0.9024,0.0174895,0.536091345868,0.467292991196,0.234265476748,0.166007487544,0.118473261516
338.222769387,0.796219263546,23.8196492612,21.6043645894,3.7130184,1.64527,0.274774,0.781847614569,0.624039150018,0.238963295433,0.169336501651,0.120849052902
338.062876456,0.471864131569,27.1295543774,21.0727934436,9.1947744,0.234156,0.469767,0.488156249036,0.204424684578,0.214926086775,0.152303020353,0.108692901911
338.171603436,0.517845756662,23.351718979,22.2160696593,3.6544704,2.37125,0.00372134,0.809278331747,0.455903251718,0.222757604591,0.157852666909,0.112653474638
338.10014512,0.543008147385,27.0952781645,21.8542378814,4.8110664,0.160087,0.12354,0.391256616285,0.509861827781,0.223003027857,0.158026581138,0.112777590642
338.10086833,0.543857248193,21.9586591864,22.1747802458,2.7331416,2.64508,0.158157,0.818707904144,0.636234073126,0.223051744071,0.158061102897,0.112802227515
338.078877257,0.543838569392,25.6089744337,22.5390969339,3.0172632,0.69846,0.46825,0.839427745754,0.547036929708,0.221938975394,0.157272561902,0.112239475648
